Timestamp,Settlement Point Name,Hourly Average Price
2010-12-05 18:00:00,HB_HUBAVG,46.49
2010-12-05 19:00:00,HB_BUSAVG,43.16
2010-12-05 19:00:00,HB_HUBAVG,43.155
2010-12-05 20:00:00,HB_BUSAVG,43.565
2010-12-05 20:00:00,HB_HUBAVG,43.53
2010-12-05 21:00:00,HB_BUSAVG,41.3225
2010-12-05 21:00:00,HB_HUBAVG,41.3225
2010-12-05 22:00:00,HB_BUSAVG,32.59
2010-12-05 22:00:00,HB_HUBAVG,32.59
2010-12-05 23:00:00,HB_BUSAVG,32.2875
2010-12-05 23:00:00,HB_HUBAVG,32.2875
2010-12-06 00:00:00,HB_BUSAVG,31.435000000000002
2010-12-06 00:00:00,HB_HUBAVG,31.435000000000002
2010-12-06 01:00:00,HB_BUSAVG,29.18
2010-12-06 01:00:00,HB_HUBAVG,29.18
2010-12-06 02:00:00,HB_BUSAVG,30.5075
2010-12-06 02:00:00,HB_HUBAVG,30.5075
2010-12-06 03:00:00,HB_BUSAVG,34.725
2010-12-06 03:00:00,HB_HUBAVG,34.725
2010-12-06 04:00:00,HB_BUSAVG,36.47
2010-12-06 04:00:00,HB_HUBAVG,36.47
2010-12-06 05:00:00,HB_BUSAVG,35.24
2010-12-06 05:00:00,HB_HUBAVG,35.24
2010-12-06 06:00:00,HB_BUSAVG,85.7925
2010-12-06 06:00:00,HB_HUBAVG,85.7925
2010-12-06 07:00:00,HB_BUSAVG,60.1425
2010-12-06 07:00:00,HB_HUBAVG,60.1425
2010-12-06 08:00:00,HB_BUSAVG,35.6775
2010-12-06 08:00:00,HB_HUBAVG,35.6775
2010-12-06 09:00:00,HB_BUSAVG,34.4775
2010-12-06 09:00:00,HB_HUBAVG,34.4625
2010-12-06 10:00:00,HB_BUSAVG,31.935
2010-12-06 10:00:00,HB_HUBAVG,31.8975
2010-12-06 11:00:00,HB_BUSAVG,31.784999999999997
2010-12-06 11:00:00,HB_HUBAVG,31.747500000000002
2010-12-06 12:00:00,HB_BUSAVG,29.6375
2010-12-06 12:00:00,HB_HUBAVG,29.59
2010-12-06 13:00:00,HB_BUSAVG,27.8975
2010-12-06 13:00:00,HB_HUBAVG,27.845
2010-12-06 14:00:00,HB_BUSAVG,27.4525
2010-12-06 14:00:00,HB_HUBAVG,27.375
